Tiempo,RmsElectro
137.5234375,0.936
137.52734375,0.936
137.53125,0.936
137.53515625,0.936
137.5390625,0.936
137.54296875,0.935
137.546875,0.935
137.55078125,0.935
137.5546875,0.935
137.55859375,0.935
137.5625,0.935
137.56640625,0.935
137.5703125,0.935
137.57421875,0.935
137.578125,0.935
137.58203125,0.935
137.5859375,0.935
137.58984375,0.935
137.59375,0.935
137.59765625,0.935
137.6015625,0.935
137.60546875,0.935
137.609375,0.935
137.61328125,0.935
137.6171875,0.935
137.62109375,0.935
137.625,0.935
137.62890625,0.934
137.6328125,0.934
137.63671875,0.934
137.640625,0.935
137.64453125,0.935
137.6484375,0.935
137.65234375,0.934
137.65625,0.934
137.66015625,0.934
137.6640625,0.934
137.66796875,0.934
137.671875,0.934
137.67578125,0.934
137.6796875,0.934
137.68359375,0.934
137.6875,0.934
137.69140625,0.934
137.6953125,0.934
137.69921875,0.934
137.703125,0.934
137.70703125,0.934
137.7109375,0.934
137.71484375,0.934
137.71875,0.934
137.72265625,0.934
137.7265625,0.934
137.73046875,0.934
137.734375,0.934
137.73828125,0.934
137.7421875,0.934
137.74609375,0.934
137.75,0.934
137.75390625,0.934
137.7578125,0.934
137.76171875,0.934
137.765625,0.934
137.76953125,0.933
137.7734375,0.933
137.77734375,0.933
137.78125,0.933
137.78515625,0.933
137.7890625,0.933
137.79296875,0.933
137.796875,0.933
137.80078125,0.933
137.8046875,0.933
137.80859375,0.933
137.8125,0.933
137.81640625,0.933
137.8203125,0.933
137.82421875,0.933
137.828125,0.933
137.83203125,0.933
137.8359375,0.933
137.83984375,0.933
137.84375,0.933
137.84765625,0.933
137.8515625,0.933
137.85546875,0.933
137.859375,0.933
137.86328125,0.933
137.8671875,0.933
137.87109375,0.933
137.875,0.933
137.87890625,0.933
137.8828125,0.933
137.88671875,0.933
137.890625,0.933
137.89453125,0.933
137.8984375,0.933
137.90234375,0.932
137.90625,0.932
137.91015625,0.932
137.9140625,0.932
137.91796875,0.932
137.921875,0.932
137.92578125,0.932
137.9296875,0.932
137.93359375,0.932
137.9375,0.932
137.94140625,0.932
137.9453125,0.932
137.94921875,0.932
137.953125,0.932
137.95703125,0.932
137.9609375,0.932
137.96484375,0.932
137.96875,0.932
137.97265625,0.932
137.9765625,0.932
137.98046875,0.932
137.984375,0.932
137.98828125,0.932
137.9921875,0.932
137.99609375,0.932
138,0.932
138.00390625,0.932
138.0078125,0.932
138.01171875,0.932
138.015625,0.931
138.01953125,0.931
138.0234375,0.931
138.02734375,0.931
138.03125,0.931
138.03515625,0.931
138.0390625,0.931
138.04296875,0.931
138.046875,0.931
138.05078125,0.931
138.0546875,0.931
138.05859375,0.931
138.0625,0.931
138.06640625,0.931
138.0703125,0.931
138.07421875,0.931
138.078125,0.931
138.08203125,0.931
138.0859375,0.931
138.08984375,0.931
138.09375,0.931
138.09765625,0.931
138.1015625,0.931
138.10546875,0.931
138.109375,0.931
138.11328125,0.931
138.1171875,0.931
138.12109375,0.931
138.125,0.931
138.12890625,0.931
138.1328125,0.931
138.13671875,0.931
138.140625,0.931
138.14453125,0.931
138.1484375,0.931
138.15234375,0.931
138.15625,0.931
138.16015625,0.931
138.1640625,0.931
138.16796875,0.93
138.171875,0.93
138.17578125,0.93
138.1796875,0.93
138.18359375,0.93
138.1875,0.93
138.19140625,0.93
138.1953125,0.93
138.19921875,0.93
138.203125,0.93
138.20703125,0.93
138.2109375,0.93
138.21484375,0.93
138.21875,0.93
138.22265625,0.93
138.2265625,0.93
138.23046875,0.93
138.234375,0.93
138.23828125,0.93
138.2421875,0.93
138.24609375,0.93
138.25,0.93
138.25390625,0.93
138.2578125,0.93
138.26171875,0.93
138.265625,0.93
138.26953125,0.93
138.2734375,0.93
138.27734375,0.93
138.28125,0.93
138.28515625,0.93
138.2890625,0.93
138.29296875,0.93
138.296875,0.93
138.30078125,0.93
138.3046875,0.93
138.30859375,0.93
138.3125,0.93
138.31640625,0.93
138.3203125,0.93
138.32421875,0.93
138.328125,0.93
138.33203125,0.93
138.3359375,0.93
138.33984375,0.929
138.34375,0.929
138.34765625,0.929
138.3515625,0.929
138.35546875,0.929
138.359375,0.929
138.36328125,0.929
138.3671875,0.929
138.37109375,0.929
138.375,0.929
138.37890625,0.929
138.3828125,0.929
138.38671875,0.929
138.390625,0.929
138.39453125,0.929
138.3984375,0.929
138.40234375,0.929
138.40625,0.929
138.41015625,0.929
138.4140625,0.929
138.41796875,0.929
138.421875,0.929
138.42578125,0.929
138.4296875,0.929
138.43359375,0.929
138.4375,0.929
138.44140625,0.929
138.4453125,0.929
138.44921875,0.929
138.453125,0.929
138.45703125,0.929
138.4609375,0.929
138.46484375,0.929
138.46875,0.929
138.47265625,0.929
138.4765625,0.929
138.48046875,0.929
138.484375,0.929
138.48828125,0.929
138.4921875,0.929
138.49609375,0.929
138.5,0.929
138.50390625,0.929
138.5078125,0.929
138.51171875,0.929
138.515625,0.929
138.51953125,0.928
138.5234375,0.928
138.52734375,0.928
138.53125,0.928
138.53515625,0.928
138.5390625,0.928
138.54296875,0.928
138.546875,0.928
138.55078125,0.928
138.5546875,0.928
138.55859375,0.928
138.5625,0.928
138.56640625,0.928
138.5703125,0.928
138.57421875,0.928
138.578125,0.928
138.58203125,0.928
138.5859375,0.928
138.58984375,0.928
138.59375,0.928
138.59765625,0.928
138.6015625,0.927
138.60546875,0.927
138.609375,0.927
138.61328125,0.927
138.6171875,0.927
138.62109375,0.927
138.625,0.927
138.62890625,0.927
138.6328125,0.927
138.63671875,0.927
138.640625,0.927
138.64453125,0.927
138.6484375,0.927
138.65234375,0.927
138.65625,0.927
138.66015625,0.927
138.6640625,0.927
138.66796875,0.927
138.671875,0.927
138.67578125,0.927
138.6796875,0.927
138.68359375,0.927
138.6875,0.927
138.69140625,0.927
138.6953125,0.927
138.69921875,0.927
138.703125,0.927
138.70703125,0.927
138.7109375,0.927
138.71484375,0.927
138.71875,0.927
138.72265625,0.927
138.7265625,0.927
138.73046875,0.927
138.734375,0.927
138.73828125,0.927
138.7421875,0.927
138.74609375,0.927
138.75,0.927
138.75390625,0.927
138.7578125,0.927
138.76171875,0.927
138.765625,0.927
138.76953125,0.927
138.7734375,0.926
138.77734375,0.926
138.78125,0.926
138.78515625,0.926
138.7890625,0.926
138.79296875,0.926
138.796875,0.926
138.80078125,0.926
138.8046875,0.926
138.80859375,0.926
138.8125,0.926
138.81640625,0.926
138.8203125,0.926
138.82421875,0.926
138.828125,0.926
138.83203125,0.926
138.8359375,0.926
138.83984375,0.926
138.84375,0.926
138.84765625,0.926
138.8515625,0.926
138.85546875,0.926
138.859375,0.926
138.86328125,0.926
138.8671875,0.926
138.87109375,0.926
138.875,0.926
138.87890625,0.926
138.8828125,0.926
138.88671875,0.926
138.890625,0.926
138.89453125,0.926
138.8984375,0.926
138.90234375,0.926
138.90625,0.926
138.91015625,0.926
138.9140625,0.926
138.91796875,0.926
138.921875,0.926
138.92578125,0.926
138.9296875,0.926
138.93359375,0.926
138.9375,0.926
138.94140625,0.926
138.9453125,0.926
138.94921875,0.926
138.953125,0.926
138.95703125,0.926
138.9609375,0.926
138.96484375,0.926
138.96875,0.926
138.97265625,0.926
138.9765625,0.926
138.98046875,0.926
138.984375,0.926
138.98828125,0.926
138.9921875,0.926
138.99609375,0.926
139,0.926
139.00390625,0.926
139.0078125,0.926
139.01171875,0.926
139.015625,0.926
139.01953125,0.926
139.0234375,0.926
139.02734375,0.926
139.03125,0.926
139.03515625,0.926
139.0390625,0.926
139.04296875,0.926
139.046875,0.926
139.05078125,0.926
139.0546875,0.926
139.05859375,0.926
